,bib,name,team,category,rank,nationality,time,Delev,StGer,Conta,Balme,Bonhom,Chapieu,Seigne,Combal,MtFavre,Checrou,Courm1,Courm2,Bertone,Bonatti,Arnuva,GdColF,Fouly,Champex,Giete,Trient,Catogne,Vallo,TaVents,Flegere,Arrivee,timediff
58,100,GRANT Joe,,SEH,59,US,103030.0,5004.0,7237.0,11441.0,15442.0,19681.0,21676.0,27787.0,31908.0,35038.0,36960.0,39145.0,39591.0,43885.0,48054.0,50852.0,55461.0,60214.0,70027.0,78373.0,80974.0,85843.0,89426.0,96384.0,99069.0,103030.0,26875.0
59,58,PICEU AFRICA Darcy,,V1F,60,US,103110.0,5375.0,7851.0,12305.0,16678.0,21279.0,23477.0,29974.0,34064.0,37237.0,39299.0,41384.0,41700.0,46433.0,50764.0,53426.0,57954.0,62348.0,70881.0,80060.0,83005.0,88457.0,91403.0,97810.0,100083.0,103110.0,26955.0
60,140,BOMBENGER Jean-François,,SEH,61,FR,103195.0,5171.0,7450.0,11674.0,16052.0,20823.0,22870.0,29681.0,33922.0,37123.0,38982.0,40902.0,41680.0,45963.0,50104.0,52966.0,57554.0,62101.0,69983.0,78402.0,80808.0,86095.0,89150.0,97263.0,99902.0,103195.0,27040.0
61,197,MORETTI Luciana,,SEF,62,AR,103247.0,6059.0,8739.0,13703.0,18448.0,23084.0,25406.0,32338.0,36890.0,40144.0,42106.0,44357.0,44975.0,49550.0,53417.0,56004.0,60330.0,64522.0,72133.0,80243.0,82505.0,87414.0,90476.0,97400.0,99870.0,103247.0,27092.0
62,259,PACHECO Rui,INDIVIDUAL,SEH,63,PT,103273.0,5331.0,7742.0,12179.0,16549.0,20871.0,23093.0,30017.0,34299.0,37827.0,40000.0,42327.0,43720.0,48150.0,51733.0,54311.0,58253.0,62030.0,70296.0,77925.0,80281.0,86740.0,89705.0,96956.0,99573.0,103273.0,27118.0
63,737,MORENO ORTIZ Antonio,ALPINO BENALMADENA IRONTRIATH,V1H,64,ES,103725.0,6167.0,8684.0,13473.0,17777.0,21958.0,24015.0,30627.0,34907.0,38124.0,40119.0,42507.0,44518.0,48908.0,52617.0,55448.0,60242.0,64313.0,72140.0,80809.0,83264.0,89270.0,91833.0,98169.0,100375.0,103725.0,27570.0
64,2756,PELLISSIER Joachim,HOKA SUISSE / RIDE SPIRIT,SEH,65,CH,103932.0,5772.0,8344.0,13569.0,18922.0,23793.0,26193.0,33314.0,38075.0,41747.0,44384.0,46516.0,47312.0,51338.0,55355.0,58295.0,62793.0,67401.0,74720.0,82374.0,84415.0,89129.0,91706.0,98490.0,100923.0,103932.0,27777.0
65,159,PAWLOWSKI Marcin,---,SEH,66,PL,104386.0,5144.0,7397.0,11613.0,15784.0,19971.0,21981.0,28498.0,32871.0,35782.0,37794.0,40353.0,44444.0,48114.0,51594.0,54006.0,58115.0,62692.0,71848.0,81019.0,83563.0,89376.0,92111.0,98879.0,101267.0,104386.0,28231.0
66,128,THIERY Benoit,TRAILERS DU GAVOT,SEH,67,FR,104452.0,5113.0,7489.0,12072.0,16855.0,21273.0,23367.0,31068.0,35417.0,38707.0,41199.0,43516.0,45289.0,49476.0,53624.0,56544.0,60886.0,65050.0,72503.0,81263.0,83531.0,88290.0,91036.0,98193.0,100780.0,104452.0,28297.0
67,63,HAYNES Jesse,PATAGONIA,V1H,68,US,104463.0,5086.0,7415.0,11757.0,16125.0,20446.0,22571.0,29261.0,33727.0,37524.0,39851.0,41978.0,42675.0,46973.0,51269.0,53973.0,59170.0,64611.0,72386.0,81521.0,84069.0,89730.0,92376.0,99289.0,101612.0,104463.0,28308.0
68,1876,JONES Michael,,SEH,69,GB,104880.0,5394.0,7819.0,11930.0,15661.0,19687.0,21677.0,27791.0,31910.0,35049.0,36961.0,39254.0,39827.0,43880.0,48071.0,51287.0,57388.0,61721.0,71365.0,80608.0,83070.0,88993.0,92691.0,99839.0,101820.0,104880.0,28725.0
